index,image,score,title,star,time
62,http://p0.meituan.net/movie/d81e2aeecebce01472434b09b46bc56c136075.jpg@160w_220h_1e_1c,8.9,鬼子来了,"姜文,姜宏波,陈强",2000-05-12(法国戛纳)
63,http://p0.meituan.net/movie/91/5305842.jpg@160w_220h_1e_1c,8.8,美丽心灵,"罗素·克劳,詹妮弗·康纳利,艾德·哈里斯",2001-12-21(美国)
64,http://p1.meituan.net/movie/3fd701f5bfa9f8acddfe407949fd9104143897.jpg@160w_220h_1e_1c,8.9,蝙蝠侠：黑暗骑士崛起,"克里斯蒂安·贝尔,迈克尔·凯恩,加里·奥德曼",2012-08-27
65,http://p0.meituan.net/movie/18/9569613.jpg@160w_220h_1e_1c,9.1,美国往事,"罗伯特·德尼罗,詹姆斯·伍兹,伊丽莎白·麦戈文",1984-02-17(美国)
66,http://p0.meituan.net/movie/95/985283.jpg@160w_220h_1e_1c,9.1,少年派的奇幻漂流,"苏拉·沙玛,伊尔凡·可汗,塔布",2012-11-22
67,http://p0.meituan.net/movie/36/6065251.jpg@160w_220h_1e_1c,8.8,夜访吸血鬼,"汤姆·克鲁斯,布拉德·皮特,克尔斯滕·邓斯特",1994-11-11(美国)
68,http://p0.meituan.net/movie/36/7289043.jpg@160w_220h_1e_1c,8.8,钢琴家,"阿德里安·布洛迪,艾米丽雅·福克斯,米乔·赞布罗斯基",2002-09-25(法国)
69,http://p0.meituan.net/movie/76/612928.jpg@160w_220h_1e_1c,9.0,哈利·波特与死亡圣器（下）,"丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃森",2011-08-04
70,http://p0.meituan.net/movie/65/249948.jpg@160w_220h_1e_1c,9.0,无敌破坏王,"约翰·C·赖利,萨拉·丝沃曼,简·林奇",2012-11-06
71,http://p0.meituan.net/movie/48/2207789.jpg@160w_220h_1e_1c,8.8,本杰明·巴顿奇事,"布拉德·皮特,凯特·布兰切特,塔拉吉·P·汉森",2008-12-25(美国)
72,http://p0.meituan.net/movie/85/3966083.jpg@160w_220h_1e_1c,9.1,倩女幽魂,"张国荣,王祖贤,午马",2011-04-30
73,http://p0.meituan.net/movie/23/912567.jpg@160w_220h_1e_1c,8.8,初恋这件小事,"马里奥·毛瑞尔,阿查拉那·阿瑞亚卫考,平采娜·乐维瑟派布恩",2012-06-05
74,http://p0.meituan.net/movie/40/9791315.jpg@160w_220h_1e_1c,8.8,熔炉,"孔刘,郑有美,金智英",2011-09-22(韩国)
75,http://p0.meituan.net/movie/94/94.jpg@160w_220h_1e_1c,8.8,新龙门客栈,"张曼玉,林青霞,梁家辉",2012-02-24
76,http://p0.meituan.net/movie/98/9126928.jpg@160w_220h_1e_1c,8.8,魔女宅急便,"高山南,佐久间玲,户田惠子",1989-07-29(日本)
77,http://p0.meituan.net/movie/7/2144189.jpg@160w_220h_1e_1c,9.6,大话西游之月光宝盒,"周星驰,莫文蔚,吴孟达",2014-10-24
78,http://p0.meituan.net/movie/49/7621489.jpg@160w_220h_1e_1c,9.1,触不可及,"弗朗索瓦·克鲁塞,奥马·希,安乐妮",2011-11-02(法国)
79,http://p1.meituan.net/movie/1a8cde299375b74d0b8b3ad35b071480111623.jpg@160w_220h_1e_1c,9.2,甜蜜蜜,"黎明,张曼玉,曾志伟",2015-02-13
